date,cross_asset_mean,cross_asset_std,total_texts,positive_count,negative_count,sentiment_momentum_3d,sentiment_momentum_7d,volume_spike,bearish_ratio,bullish_ratio,max_divergence
2021-01-20,-0.41575127749987884,0.8281410386764735,2118,591,1513,,,1.0,0.719106463878327,0.280893536121673,0.0
2021-01-21,-0.4170709533801024,0.8380810631445815,2175,616,1550,,,1.013277428371768,0.7156048014773777,0.28439519852262235,0.0
2021-01-22,-0.35480106443193316,0.8675516345712964,4484,1415,3045,,,1.5326421328472144,0.6827354260089686,0.3172645739910314,0.0
2021-01-23,-0.4163081370358984,0.8392739822699324,2526,723,1793,-0.0005568595360195827,,0.8939219676192162,0.7126391096979332,0.2873608903020668,0.0
2021-01-24,-0.3992155477404594,0.8498334358420919,1920,561,1353,0.017855405639642996,,0.7260077138319595,0.7068965517241379,0.29310344827586204,0.0
2021-01-25,-0.3695938615531682,0.8496122735527851,9884,3011,6806,-0.014792797121235046,,2.5664950015146926,0.6932871549353163,0.3067128450646837,0.0
2021-01-26,-0.3578770964844123,0.85641203980207,5977,1862,4087,0.058431040551486124,,1.4385572823545592,0.6870062195326946,0.3129937804673054,0.0
2021-01-27,-0.3969781564480656,0.8432582930878025,29301,8579,20559,0.002237391292393809,0.002681874435973286,4.014866832234307,0.7055734779325966,0.2944265220674034,0.0
2021-01-28,0.07445117188516173,0.26576598576758204,257,35,67,0.4440450334383299,0.07021744646646633,0.03944272023464412,0.6568627450980392,0.3431372549019608,0.34748086446631016
2021-01-29,-0.0750312093712183,0.28630355520321576,16170,3420,6575,0.28284588711319403,0.0399671221515307,2.161417954338876,0.6578289144572286,0.34217108554277137,0.14049987861200033
2021-01-30,-0.047889963219080844,0.3264614597632151,1568,393,587,0.34908819322898477,0.05263116768811679,0.22581827703587326,0.5989795918367347,0.4010204081632653,0.15734256904235938
2021-01-31,-0.049456540983028485,0.2772965069403481,931,232,325,-0.12390771286819022,0.04996557239391869,0.14450724993855985,0.5834829443447038,0.41651705565529623,0.08545362556012667
2021-02-01,-0.053852608678500086,0.2466278422061202,774,191,254,0.021178600692718208,0.045105893267809755,0.12885957610296472,0.5707865168539326,0.42921348314606744,0.12137254581858332
2021-02-02,-0.06183082490894851,0.3156453205019625,1667,503,548,-0.013940861689867669,0.04229232451078055,0.2926321596950547,0.5214081826831589,0.4785918173168411,0.1617142071604978
2021-02-03,-0.0516760618168841,0.27336633399018107,2368,677,806,-0.002219520833855612,0.04932887066159735,0.4143896402589935,0.5434929197572488,0.45650708024275116,0.23775785528111099
2021-02-04,0.009813557170113235,0.2987807383821135,1582,467,505,0.06366616584861332,-0.009233944959292646,0.27891045095644074,0.5195473251028807,0.48045267489711935,0.1020217518136068
2021-02-05,-0.11191480428309611,0.26399559538172346,2348,498,1000,-0.050083979374147596,-0.0052690849874111045,0.4254008515264064,0.6675567423230975,0.3324432576769025,0.13631007594971703
2021-02-06,-0.04412534350037774,0.2952855185246931,3088,769,1182,0.007550718316506361,0.0005378028169575888,0.555431361212822,0.6058431573552024,0.39415684264479756,0.13738006590393143
2021-02-07,-0.05020992432194655,0.3084873343622688,629,193,224,-0.060023481492059785,-0.00010762619127401701,0.1150449414715719,0.5371702637889688,0.4628297362110312,0.28626564892363693
2021-02-08,-0.1464381706021346,0.5114166890213049,316,92,97,-0.03452336631903849,-0.013226508846233505,0.06605351170568562,0.5132275132275133,0.48677248677248675,0.29378728959709405
2021-02-09,-0.066859379260496,0.31688649733682217,150,34,59,-0.02273403576011826,-0.0007183649073639192,0.034342344110287984,0.6344086021505376,0.3655913978494624,0.10892063798382878
2021-02-10,-0.004032716557979016,0.23613535329636348,208,44,69,0.04617720776396753,0.00680619217984358,0.09084102820064886,0.6106194690265486,0.3893805309734513,0.25864903109946424
2021-02-11,-0.011277851019492498,0.3259779200955676,180,55,62,0.1351603195826421,-0.003013058312800812,0.07880171362456612,0.5299145299145299,0.4700854700854701,0.14463878255337476
2021-02-12,-0.013214869335251678,0.2406111354749075,181,47,64,0.05364450992524432,0.014099990706834917,0.15847404627892434,0.5765765765765766,0.42342342342342343,0.4135633837431669
2021-02-13,0.07979445153331098,0.23714695625338,184,54,56,0.08382716809129,0.017702827861955525,0.17636587703683418,0.509090909090909,0.4909090909090909,0.27134334283256517
2021-02-14,-0.11795576177656841,0.3596819697941759,118,35,50,-0.10667791075707592,-0.009677976779231691,0.11977089828173712,0.5882352941176471,0.4117647058823529,0.12276377007126427
