date,cross_asset_mean,cross_asset_std,total_texts,positive_count,negative_count,sentiment_momentum_3d,sentiment_momentum_7d,volume_spike,bearish_ratio,bullish_ratio,max_divergence
2022-11-01,0.0639716761057173,0.1,2316,354,244,,,1.0,0.4080267558528428,0.5919732441471572,0.008970536677454205
2022-11-02,0.06456096911203521,0.1,2318,348,249,,,1.0004315925766076,0.41708542713567837,0.5829145728643216,0.022093800060633204
2022-11-03,0.0646982553273058,0.1,2238,346,249,,,0.9770081490104774,0.4184873949579832,0.5815126050420169,0.022690492955496605
2022-11-04,0.05222868098159505,0.1,2415,362,281,-0.011742995124122253,,1.0401636696457413,0.4370139968895801,0.5629860031104199,0.010585933391761698
2022-11-05,0.030783256629165548,0.1,1563,213,179,-0.03377771248286966,,0.7202764976958526,0.45663265306122447,0.5433673469387755,0.005139999346710899
2022-11-06,0.042895058541458454,0.1,2001,269,230,-0.02180319678584735,,0.9342463621508054,0.46092184368737477,0.5390781563126252,0.0439757170829171
2022-11-07,0.0507661232320061,0.1,2420,368,282,-0.0014625577495889497,,1.109292122323358,0.4338461538461538,0.5661538461538461,0.028158961265456403
2022-11-08,0.0318900801291731,0.1,2889,421,405,0.001106823500007549,-0.004583085139506317,1.2726872246696035,0.49031476997578693,0.5096852300242131,0.0726832920078062
2022-11-09,0.005213021272481452,0.1,3222,434,564,-0.037682037268977,-0.00847827826279339,1.3561874473856514,0.5651302605210421,0.4348697394789579,0.1615606115903753
2022-11-10,-0.004218085913655398,0.1,3252,411,521,-0.054984209145661496,-0.009845191605851605,1.3201266542177479,0.5590128755364807,0.4409871244635193,0.1212541227163878
2022-11-11,0.0050522451518955035,0.1,2948,393,471,-0.026837834977277594,-0.006739490832814221,1.1756942933797403,0.5451388888888888,0.4548611111111111,0.134668879760488
2022-11-12,-0.0240741528781539,0.1,2804,331,478,-0.029287174150635354,-0.007836772786759918,1.1073520700322517,0.5908529048207664,0.40914709517923364,0.129616088183086
2022-11-13,-0.020013437261526802,0.1,3171,393,564,-0.015795351347871404,-0.00898692797185504,1.2284471198259677,0.5893416927899686,0.4106583072100313,0.13165224139936382
2022-11-14,-0.006822180818752348,0.1,2987,369,484,-0.011874425970647851,-0.008226900578679778,1.144319176882662,0.567409144196952,0.43259085580304807,0.1181997095087403
2022-11-15,0.007562958092144249,0.1,2783,365,394,0.03163711097029815,-0.003475303148146978,1.0527140579827619,0.5191040843214756,0.48089591567852435,0.0599933751542941
2022-11-16,0.011236154029162452,0.1,2757,369,411,0.031249591290689254,0.0008604475366687141,1.0306542056074766,0.5269230769230769,0.47307692307692306,0.10245873339769129
2022-11-17,0.010077334080259154,0.1,2584,336,379,0.0168995148990115,0.0020422028562735073,0.9571383215155043,0.5300699300699301,0.4699300699300699,0.1112297629772061
2022-11-18,0.02672510191250525,0.1,2476,372,329,0.019162143820361,0.003096122394372821,0.915656285495417,0.4693295292439372,0.5306704707560628,0.013738853925749299
2022-11-19,0.032578076607734596,0.1,1774,246,209,0.021341922578572144,0.008093175640841214,0.6524114742040559,0.4593406593406593,0.5406593406593406,0.039268512766031195
2022-11-20,-0.012751656327543399,0.1,1450,163,185,-0.022828990407802553,0.001037397276283344,0.5410880400884932,0.5316091954022989,0.46839080459770116,0.07970976426799001
2022-11-21,0.020011284682012104,0.1,1582,203,195,-0.006713817230493146,0.003833352214394922,0.603833256086589,0.4899497487437186,0.5100502512562815,0.1237072894850528
2022-11-22,0.02074166864063775,0.1,2359,322,316,-0.011836407967096847,0.0018826729354990707,0.9136075686740989,0.4952978056426332,0.5047021943573667,0.0700856936877555
2022-11-23,0.034968466268036895,0.1,2277,309,284,0.0477201225955803,0.003390330319839204,0.9055220997613908,0.47892074198988194,0.521079258010118,0.0648099252368038
2022-11-24,0.0382663184261762,0.1,2168,301,279,0.018255033744164095,0.0040269977637024355,0.8895662368112544,0.4810344827586207,0.5189655172413793,0.0737778556530008
2022-11-25,0.02409181018356485,0.1,1732,235,210,0.0033501415429271,-0.00037618453270577,0.7369316800389011,0.47191011235955055,0.5280898876404494,0.0496982271087027
2022-11-26,-0.0019948024552657005,0.1,1485,175,180,-0.03696326872330259,-0.004938982723285756,0.6582238404305841,0.5070422535211268,0.49295774647887325,0.071226878605952
2022-11-27,0.01922319468119075,0.1,1888,248,231,-0.01904312374498545,0.0045678358583905905,0.8722856577123622,0.4822546972860125,0.5177453027139874,0.029411703764004298
2022-11-28,0.004114035786728452,0.1,2274,282,318,-0.019977774396836397,-0.002271035556469087,1.0759403832505323,0.53,0.47,0.0923352144305997
2022-11-29,0.02697633623755335,0.1,2392,331,324,0.02897113869281905,0.0008906667995593649,1.1469278717720393,0.4946564885496183,0.5053435114503817,0.0742295643669985
2022-11-30,0.03567812267736935,0.1,2417,339,325,0.0164549279961786,0.00010137948704749475,1.1725691316099522,0.4894578313253012,0.5105421686746988,0.0952467849482915
