date,predicted,actual,vix_close
2022-11-01,normal,elevated,25.809999465942383
2022-11-02,normal,elevated,25.860000610351562
2022-11-03,normal,elevated,25.299999237060547
2022-11-04,normal,normal,24.549999237060547
2022-11-07,normal,normal,24.350000381469727
2022-11-08,normal,elevated,25.540000915527344
2022-11-09,normal,elevated,26.09000015258789
2022-11-10,normal,normal,23.530000686645508
2022-11-11,normal,normal,22.520000457763672
2022-11-14,normal,normal,23.729999542236328
2022-11-15,normal,normal,24.540000915527344
2022-11-16,normal,normal,24.110000610351562
2022-11-17,normal,normal,23.93000030517578
2022-11-18,normal,normal,23.1200008392334
2022-11-21,normal,normal,22.360000610351562
2022-11-22,normal,normal,21.290000915527344
2022-11-23,normal,normal,20.350000381469727
2022-11-25,normal,normal,20.5
2022-11-28,normal,normal,22.209999084472656
2022-11-29,normal,normal,21.889999389648438
2022-11-30,normal,normal,20.579999923706055
